nom,rfc,dit,noc,cbo
17.0000,28.0000,1.0000,0.0000,2.0000
2.0000,2.0000,1.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
8.0000,13.0000,1.0000,0.0000,1.0000
4.0000,4.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,2.0000,1.0000,0.0000,1.0000
1.0000,1.0000,1.0000,0.0000,0.0000
1.0000,1.0000,1.0000,0.0000,0.0000
1.0000,1.0000,1.0000,0.0000,0.0000
3.0000,3.0000,1.0000,0.0000,0.0000
3.0000,3.0000,1.0000,0.0000,0.0000
2.0000,2.0000,1.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,0.0000,0.0000
2.0000,3.0000,1.0000,0.0000,1.0000
8.0000,9.0000,1.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
12.0000,17.0000,2.0000,0.0000,1.0000
8.0000,8.0000,1.0000,0.0000,0.0000
4.0000,12.0000,1.0000,0.0000,2.0000
2.0000,3.0000,0.0000,0.0000,1.0000
2.0000,2.0000,1.0000,1.0000,0.0000
12.0000,19.0000,1.0000,0.0000,0.0000
3.0000,4.0000,0.0000,0.0000,0.0000
1.0000,1.0000,1.0000,0.0000,0.0000
4.0000,4.0000,1.0000,0.0000,0.0000
2.0000,2.0000,0.0000,1.0000,0.0000
15.0000,37.0000,1.0000,0.0000,0.0000
2.0000,6.0000,1.0000,0.0000,1.0000
2.0000,6.0000,0.0000,0.0000,0.0000
9.0000,24.0000,1.0000,0.0000,1.0000
4.0000,9.0000,1.0000,0.0000,2.0000
1.0000,1.0000,1.0000,0.0000,0.0000
3.0000,5.0000,1.0000,0.0000,0.0000
3.0000,3.0000,0.0000,0.0000,0.0000
10.0000,27.0000,0.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
23.0000,51.0000,1.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
5.0000,9.0000,0.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000
1.0000,2.0000,0.0000,0.0000,0.0000
21.0000,64.0000,1.0000,0.0000,3.0000
0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
8.0000,18.0000,1.0000,0.0000,1.0000
67.0000,295.0000,1.0000,0.0000,6.0000
1.0000,9.0000,1.0000,0.0000,1.0000
5.0000,5.0000,0.0000,0.0000,0.0000
1.0000,9.0000,1.0000,0.0000,1.0000
12.0000,38.0000,1.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
35.0000,179.0000,1.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
5.0000,8.0000,1.0000,0.0000,0.0000
3.0000,14.0000,1.0000,0.0000,0.0000
2.0000,2.0000,1.0000,0.0000,0.0000
6.0000,10.0000,1.0000,0.0000,0.0000
1.0000,1.0000,1.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
4.0000,13.0000,1.0000,0.0000,2.0000
2.0000,12.0000,1.0000,0.0000,3.0000
3.0000,3.0000,1.0000,0.0000,0.0000
6.0000,13.0000,1.0000,0.0000,3.0000
6.0000,19.0000,1.0000,0.0000,2.0000
24.0000,102.0000,1.0000,0.0000,8.0000
27.0000,163.0000,1.0000,0.0000,13.0000
9.0000,34.0000,1.0000,0.0000,4.0000
5.0000,5.0000,1.0000,0.0000,0.0000
2.0000,6.0000,1.0000,0.0000,3.0000
6.0000,19.0000,1.0000,0.0000,2.0000
6.0000,8.0000,1.0000,0.0000,2.0000
10.0000,12.0000,1.0000,0.0000,1.0000
9.0000,25.0000,1.0000,0.0000,0.0000
8.0000,8.0000,1.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000
10.0000,11.0000,1.0000,0.0000,1.0000
1.0000,1.0000,1.0000,0.0000,0.0000
10.0000,11.0000,1.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
11.0000,11.0000,1.0000,0.0000,0.0000
7.0000,11.0000,1.0000,0.0000,1.0000
18.0000,24.0000,1.0000,0.0000,2.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
3.0000,9.0000,1.0000,0.0000,2.0000
6.0000,13.0000,1.0000,0.0000,5.0000
6.0000,13.0000,0.0000,0.0000,4.0000
4.0000,19.0000,1.0000,0.0000,4.0000
1.0000,1.0000,0.0000,0.0000,0.0000
2.0000,6.0000,1.0000,0.0000,1.0000
2.0000,5.0000,1.0000,0.0000,1.0000
6.0000,14.0000,1.0000,0.0000,0.0000
2.0000,4.0000,1.0000,0.0000,0.0000
1.0000,3.0000,1.0000,0.0000,1.0000
11.0000,69.0000,1.0000,0.0000,4.0000
9.0000,28.0000,1.0000,0.0000,0.0000
4.0000,4.0000,1.0000,0.0000,0.0000
2.0000,3.0000,1.0000,0.0000,1.0000
5.0000,9.0000,1.0000,0.0000,0.0000
2.0000,3.0000,2.0000,0.0000,0.0000
4.0000,13.0000,0.0000,0.0000,0.0000
2.0000,5.0000,0.0000,0.0000,3.0000
1.0000,4.0000,0.0000,0.0000,1.0000
1.0000,5.0000,0.0000,0.0000,1.0000
1.0000,3.0000,0.0000,0.0000,1.0000
42.0000,110.0000,1.0000,0.0000,4.0000
9.0000,15.0000,1.0000,0.0000,3.0000
2.0000,2.0000,0.0000,0.0000,0.0000
4.0000,8.0000,0.0000,0.0000,2.0000
13.0000,17.0000,1.0000,0.0000,1.0000
10.0000,10.0000,1.0000,1.0000,0.0000
67.0000,67.0000,0.0000,1.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
47.0000,51.0000,0.0000,2.0000,1.0000
15.0000,15.0000,0.0000,0.0000,0.0000
10.0000,11.0000,0.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
12.0000,13.0000,0.0000,0.0000,1.0000
7.0000,7.0000,0.0000,0.0000,0.0000
